fy,revenue,gross_profit,ebitda,net_income,pretax_income,tax_provision,interest_expense,diluted_shares,da,operating_income,ocf,capex,fcf_reported,sbc,chg_nwc,buybacks,total_debt,cash,st_investments,loans_receivable,equity,shares_outstanding,revenue_growth,gross_margin,operating_margin,ebitda_margin,net_margin,fcf_margin,sbc_pct_rev,eff_tax_rate,diluted_eps,net_debt,net_debt_incl_sti,nopat,fcff,roic,tpv_usd_b,payment_transactions_b,active_accounts_m,txn_expense_rate_pct,total_take_rate
2021,,,,,,,,,,4262000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,27518000000.0,13773000000.0,4987000000.0,2419000000.0,3366000000.0,947000000.0,304000000.0,1158000000.0,1317000000.0,3837000000,5813000000.0,-706000000.0,5107000000.0,1261000000.0,-454000000.0,4199000000.0,10417000000.0,7776000000.0,3075000000.0,7431000000.0,20274000000.0,1136000000.0,,0.5005087579039175,0.13943600552365723,0.18122683334544662,0.08790609782687696,0.18558761537902463,0.04582455120284904,0.28134284016636957,2.0889464594127807,2641000000.0,-434000000.0,2757487522.28164,2914487522.28164,0.08984677991207976,1360.0,,,,0.020233823529411766
2023,29771000000.0,13704000000.0,6830000000.0,4246000000.0,5411000000.0,1165000000.0,347000000.0,1107000000.0,1072000000.0,5028000000,4843000000.0,-623000000.0,4220000000.0,1475000000.0,-1314000000.0,5002000000.0,9676000000.0,9081000000.0,4976000000.0,5996000000.0,21051000000.0,1072000000.0,0.08187368268042738,0.4603137281246851,0.16888918746431092,0.22941788989284875,0.14262201471230393,0.14174868160290216,0.04954485909106177,0.21530216226205878,3.8355916892502258,595000000.0,-4381000000.0,3945460728.1463685,3080460728.146368,0.12840370775364887,1530.0,,,0.94,0.019458169934640522
2024,31797000000.0,14658000000.0,6743000000.0,4147000000.0,5329000000.0,1182000000.0,382000000.0,1039000000.0,1032000000.0,5325000000,7450000000.0,-683000000.0,6767000000.0,1230000000.0,-558000000.0,6047000000.0,9879000000.0,6662000000.0,4261000000.0,6963000000.0,20417000000.0,993000000.0,0.0680528030633838,0.4609868855552411,0.16746862911595434,0.21206403119791176,0.13042110890964556,0.21281881938547662,0.03868289461269931,0.22180521673860012,3.991337824831569,3217000000.0,-1044000000.0,4143887220.8669543,3934887220.866955,0.13678001125121977,1680.0,26.3,434.0,0.93,0.018926785714285715
2025,33172000000.0,15465000000.0,7696000000.0,5233000000.0,6292000000.0,1059000000.0,441000000.0,968000000.0,963000000.0,6065000000,6416000000.0,-852000000.0,5564000000.0,1002000000.0,-1064000000.0,6052000000.0,9987000000.0,8049000000.0,2373000000.0,8472000000.0,20256000000.0,920000000.0,0.04324307324590371,0.4662064391655613,0.1828349210177258,0.23200289400699384,0.15775352707102375,0.16773182201856987,0.03020619799831183,0.1683089637635092,5.4059917355371905,1938000000.0,-435000000.0,5044206134.774317,4091206134.774317,0.16678921187627938,1790.0,25.4,439.0,0.89,0.018531843575418993
