Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-15 00:00:00-04:00,169.07493533958942,175.8575866296572,168.35735405800892,175.57252502441406,6000000,0.0,0.0
2020-06-16 00:00:00-04:00,176.9486973097799,179.39635711620716,174.98270983453378,177.41070556640625,5824100,0.0,0.0
2020-06-17 00:00:00-04:00,177.8923985786956,179.64212643513795,177.60732196203827,178.31507873535156,5038600,0.0,0.0
2020-06-18 00:00:00-04:00,178.81636896626623,185.7857899744733,178.53129242331568,184.4685821533203,8677800,0.0,0.0
2020-06-19 00:00:00-04:00,186.27731268193523,187.99755171725656,182.33551320645915,183.7706756591797,11841000,0.0,0.0
2020-06-22 00:00:00-04:00,183.849320723812,189.2262977614444,183.81983211111742,188.3907470703125,6252200,0.0,0.0
2020-06-23 00:00:00-04:00,188.7347759961957,190.78922907257413,185.38276413518312,185.8447723388672,6950800,0.0,0.0
2020-06-24 00:00:00-04:00,184.32116016119627,186.08072744488274,180.91017050998892,182.39450073242188,4903100,0.0,0.0
2020-06-25 00:00:00-04:00,182.9744408549361,185.55971900286937,181.3033546183418,185.13702392578125,4022400,0.0,0.0
2020-06-26 00:00:00-04:00,184.8028237382009,185.01908356166788,179.90751909642754,180.05496215820312,7595700,0.0,0.0
2020-06-29 00:00:00-04:00,180.20240995994266,180.5857768980274,176.93886371836535,180.2122344970703,3972100,0.0,0.0
2020-06-30 00:00:00-04:00,180.33019047633908,184.69468488513485,180.01564029334762,184.1442108154297,4478900,0.0,0.0
2020-07-01 00:00:00-04:00,184.90110867365897,189.54083982905695,184.27199334746734,188.62664794921875,4754600,0.0,0.0
2020-07-02 00:00:00-04:00,189.8750739354542,192.0671457702783,189.01985918430867,189.2557830810547,4200300,0.0,0.0
2020-07-06 00:00:00-04:00,191.13332533843433,196.0581190948395,190.54352303259012,194.3575439453125,5794200,0.0,0.0
2020-07-07 00:00:00-04:00,194.29854449661656,196.81500604844342,192.8732065863249,193.04031372070312,5431500,0.0,0.0
2020-07-08 00:00:00-04:00,194.63273813287825,197.7783147392077,193.99379827508827,196.87396240234375,4233700,0.0,0.0
2020-07-09 00:00:00-04:00,198.58440268207212,199.3708006863158,192.31289772232918,197.326171875,6062800,0.0,0.0
2020-07-10 00:00:00-04:00,196.65771281593658,197.3163167802651,193.728395855371,195.49778747558594,3783200,0.0,0.0
2020-07-13 00:00:00-04:00,196.59873370034148,196.85430665440643,184.8322982884326,185.13702392578125,5555400,0.0,0.0
2020-07-14 00:00:00-04:00,182.82702361852813,186.72951023343256,180.18276787701757,186.3363037109375,5854700,0.0,0.0
2020-07-15 00:00:00-04:00,187.7812850010455,188.83309545796993,183.57407317193474,184.8912811279297,7681800,0.0,0.0
2020-07-16 00:00:00-04:00,183.24967614511718,183.6821957550449,178.83602921563676,182.3551483154297,7350000,0.0,0.0
2020-07-17 00:00:00-04:00,183.95746292414378,185.19602973792948,180.24174748349128,184.58657836914062,4324300,0.0,0.0
2020-07-20 00:00:00-04:00,184.7045051472785,191.98849186365615,184.08522933284036,191.77223205566406,5729000,0.0,0.0
2020-07-21 00:00:00-04:00,192.66680203376944,193.15829897773312,186.25767768467983,187.55523681640625,5376800,0.0,0.0
2020-07-22 00:00:00-04:00,187.5355331041374,188.60699261569945,185.65801157516984,188.0565185546875,2833000,0.0,0.0
2020-07-23 00:00:00-04:00,188.22362192602336,191.26108373664536,184.32113589361947,185.3336181640625,3639500,0.0,0.0
2020-07-24 00:00:00-04:00,182.89580241196222,185.72682902114232,181.24438022280268,185.28448486328125,3908400,0.0,0.0
2020-07-27 00:00:00-04:00,186.6705079176542,188.30228114941133,185.44176572493848,187.71249389648438,3015700,0.0,0.0
2020-07-28 00:00:00-04:00,187.75178845891222,189.68828716285594,185.83495382790755,186.2772979736328,3114200,0.0,0.0
2020-07-29 00:00:00-04:00,186.9162784563902,191.2512850246748,186.52308690794956,190.31744384765625,3747800,0.0,0.0
2020-07-30 00:00:00-04:00,186.85727511966647,188.65615545110197,184.1835309657694,188.4398956298828,3587400,0.0,0.0
2020-07-31 00:00:00-04:00,189.71777169218674,191.67393442699657,187.42739472106544,191.53631591796875,3734000,0.0,0.0
2020-08-03 00:00:00-04:00,194.43616150081925,201.3072780282768,193.2270834207622,199.7344970703125,6557500,0.0,0.0
2020-08-04 00:00:00-04:00,199.5477127877908,199.9310797148498,195.5174327859557,197.98475646972656,4480300,0.0,0.0
2020-08-05 00:00:00-04:00,199.35111498110282,200.43239899523218,198.15186152959572,199.19383239746094,3559100,0.0,0.0
2020-08-06 00:00:00-04:00,199.518249132693,206.37954153125764,198.9579354772909,204.2562713623047,5113300,0.0,0.0
2020-08-07 00:00:00-04:00,203.1061414175988,203.42070658255574,195.20287913921342,197.63087463378906,5423400,0.0,0.0
2020-08-10 00:00:00-04:00,196.99191176442022,198.0535466540821,192.3915089085107,193.80702209472656,5528200,0.0,0.0
